open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,datetime
1626926400000,1.1608,1.1877,1.154,1.1788,25043101.04,1626940799999,29350995.522772,47051,11886060.34,13933718.905489,2021-07-22 04:00:00
1626940800000,1.179,1.1929,1.158,1.1687,28154186.35,1626955199999,33051501.904027,58918,13982685.02,16423435.716016,2021-07-22 08:00:00
1626955200000,1.1687,1.1997,1.1492,1.1975,34824399.57,1626969599999,40915914.457384,61008,17874080.48,21018133.898853,2021-07-22 12:00:00
1626969600000,1.1975,1.2081,1.182,1.1928,26363306.96,1626983999999,31508114.405898,46619,12513933.08,14963096.214053,2021-07-22 16:00:00
1626984000000,1.1928,1.1933,1.168,1.1856,14701889.72,1626998399999,17344946.658487,30649,7207669.3,8504550.506521,2021-07-22 20:00:00
1626998400000,1.1857,1.2049,1.1743,1.1956,21198099.6,1627012799999,25273261.946062,38969,11848795.11,14133570.891651,2021-07-23 00:00:00
1627012800000,1.1955,1.2089,1.1814,1.1909,19731773.43,1627027199999,23608430.088837,39181,8849802.4,10593997.842283,2021-07-23 04:00:00
1627027200000,1.1908,1.1913,1.1691,1.1705,19150046.37,1627041599999,22555370.445969,38040,8393010.03,9886330.833769,2021-07-23 08:00:00
1627041600000,1.1705,1.1849,1.1631,1.1644,18184949.22,1627055999999,21353163.113111,94030,8835193.71,10378285.385454,2021-07-23 12:00:00
1627056000000,1.1645,1.1655,1.1465,1.1568,24462232.99,1627070399999,28223737.141384,44054,10952375.79,12635635.460087,2021-07-23 16:00:00
1627070400000,1.1571,1.2078,1.1541,1.2077,28608773.45,1627084799999,33899317.053921,56060,15975611.11,18950908.732479,2021-07-23 20:00:00
1627084800000,1.2075,1.2187,1.2007,1.2146,28999712.35,1627099199999,35071907.827831,55531,13644996.77,16504525.532254,2021-07-24 00:00:00
1627099200000,1.2147,1.2253,1.2064,1.2145,18436990.2,1627113599999,22399882.509872,40783,9552576.36,11608270.341847,2021-07-24 04:00:00
1627113600000,1.2146,1.224,1.1964,1.2173,24659451.23,1627127999999,29833066.614673,46613,12728489.68,15401255.951097,2021-07-24 08:00:00
1627128000000,1.2173,1.2173,1.2036,1.2072,17909598.1,1627142399999,21689262.534559,33404,9280380.29,11239485.70208,2021-07-24 12:00:00
1627142400000,1.2071,1.2487,1.207,1.2165,36346382.28,1627156799999,44763759.380419,85471,18057405.83,22240654.16329,2021-07-24 16:00:00
1627156800000,1.2166,1.2339,1.2085,1.2327,16364648.85,1627171199999,19969645.84701,31871,8586968.76,10482229.627049,2021-07-24 20:00:00
1627171200000,1.2332,1.2388,1.2058,1.2157,19159197.9,1627185599999,23351685.714327,40325,9290560.65,11326270.500273,2021-07-25 00:00:00
1627185600000,1.2155,1.2379,1.2132,1.2314,13845947.39,1627199999999,16994231.948407,31114,7265735.56,8917744.464274,2021-07-25 04:00:00
1627200000000,1.2315,1.2369,1.2147,1.2196,19008846.34,1627214399999,23322367.904649,35160,8199154.66,10059123.203818,2021-07-25 08:00:00
1627214400000,1.2196,1.2221,1.1934,1.2022,22420004.03,1627228799999,27058863.269884,47008,9979123.31,12042634.771301,2021-07-25 12:00:00
1627228800000,1.2021,1.2109,1.19,1.2045,16931823.75,1627243199999,20357886.304219,32796,7996284.46,9617284.127294,2021-07-25 16:00:00
1627243200000,1.2044,1.2292,1.1991,1.2284,16568305.1,1627257599999,20123331.923633,32499,8699977.85,10568886.792423,2021-07-25 20:00:00
1627257600000,1.2283,1.3372,1.2221,1.3266,105408982.84,1627271999999,136417160.050788,248397,55200120.62,71385617.919472,2021-07-26 00:00:00
1627272000000,1.3265,1.3991,1.3238,1.3465,91691127.42,1627286399999,124930500.363676,240732,43944146.53,59893451.227161,2021-07-26 04:00:00
1627286400000,1.3465,1.3573,1.3233,1.3447,46215797.47,1627300799999,62088709.367179,102311,21303248.81,28623217.938865,2021-07-26 08:00:00
1627300800000,1.3446,1.3522,1.3118,1.3313,37411842.94,1627315199999,49766828.508093,92349,17491122.96,23265541.915087,2021-07-26 12:00:00
1627315200000,1.3313,1.3694,1.328,1.3292,44621655.08,1627329599999,60001707.506143,107218,23646154.0,31794123.228592,2021-07-26 16:00:00
