open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,datetime
1721419200000,67157.25,67221.17,66880.39,66931.8,1328.52392,1721422799999,88988439.6301767,56924,583.8267,39102426.3527438,2024-07-19 20:00:00
1721422800000,66931.81,67352.44,66889.2,66892.28,1082.11169,1721426399999,72608990.3464765,49832,564.08694,37856144.3682457,2024-07-19 21:00:00
1721426400000,66892.27,66992.01,66654.0,66721.19,627.58082,1721429999999,41962051.0747596,37469,275.58509,18428034.4991063,2024-07-19 22:00:00
1721430000000,66721.19,66904.0,66616.19,66660.0,474.55125,1721433599999,31674044.1465442,30727,222.24648,14834736.4609224,2024-07-19 23:00:00
1721433600000,66660.01,66822.22,66268.6,66419.88,1110.36312,1721437199999,73895192.4297188,63016,475.96274,31686538.6785879,2024-07-20 00:00:00
1721437200000,66419.87,66700.1,66222.46,66361.99,897.74675,1721440799999,59691408.6334315,49429,342.23846,22751898.3409461,2024-07-20 01:00:00
1721440800000,66361.99,66634.48,66323.8,66570.57,409.2246,1721444399999,27220044.763061,33464,206.6752,13749647.3087533,2024-07-20 02:00:00
1721444400000,66570.57,66750.0,66556.0,66602.01,376.67343,1721447999999,25105875.6858741,30921,191.23888,12746652.605471,2024-07-20 03:00:00
1721448000000,66602.0,66700.0,66475.48,66660.84,300.66163,1721451599999,20025626.505538,24886,124.88683,8319075.7386096,2024-07-20 04:00:00
1721451600000,66660.84,66660.84,66436.0,66537.32,423.0256,1721455199999,28141848.7000234,24057,163.82498,10897219.1120716,2024-07-20 05:00:00
1721455200000,66537.31,66670.67,66500.0,66625.77,331.15889,1721458799999,22055804.2403221,21783,148.27014,9874094.8114892,2024-07-20 06:00:00
1721458800000,66625.76,66775.11,66525.36,66562.28,816.70901,1721462399999,54436493.5656611,44614,393.8767,26255213.6081292,2024-07-20 07:00:00
1721462400000,66562.27,66634.82,66458.83,66510.71,442.80044,1721465999999,29463184.554531,31500,177.61011,11818487.7082719,2024-07-20 08:00:00
1721466000000,66510.72,66733.09,66475.08,66582.79,393.06698,1721469599999,26182367.876359,31382,205.64869,13697818.4036709,2024-07-20 09:00:00
1721469600000,66582.78,66652.76,66485.67,66524.99,263.64261,1721473199999,17544521.9263668,22889,137.94158,9179235.1633845,2024-07-20 10:00:00
1721473200000,66525.0,66554.42,66474.0,66483.69,254.04237,1721476799999,16896566.0305023,22104,129.08188,8585535.2627376,2024-07-20 11:00:00
1721476800000,66483.69,66568.24,66470.78,66476.28,251.47887,1721480399999,16727233.5784016,27214,117.86463,7839849.5309433,2024-07-20 12:00:00
1721480400000,66476.28,66652.21,66273.62,66539.89,512.04,1721483999999,34027970.5667604,46930,265.099,17620049.0299155,2024-07-20 13:00:00
1721484000000,66539.88,66700.0,66510.0,66590.0,316.8663,1721487599999,21106612.3707114,37325,157.40902,10484945.6698131,2024-07-20 14:00:00
