open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,datetime
1626926400000,0.05339,0.05443,0.05332,0.05424,119583796.3,1626940799999,6439595.777485,14881,63749188.9,3433871.464098,2021-07-22 04:00:00
1626940800000,0.05422,0.05456,0.0535,0.05414,109306688.8,1626955199999,5909061.128815,15347,56055283.3,3030667.580224,2021-07-22 08:00:00
1626955200000,0.05414,0.05512,0.0534,0.05505,147961361.6,1626969599999,8047464.941551,19871,74989040.7,4080964.584679,2021-07-22 12:00:00
1626969600000,0.05504,0.05536,0.05464,0.05516,99147072.3,1626983999999,5461318.053538,17990,53400011.3,2942440.273842,2021-07-22 16:00:00
1626984000000,0.05516,0.05532,0.05436,0.05526,83173966.2,1626998399999,4562542.29191,10800,42236297.7,2317917.834286,2021-07-22 20:00:00
1626998400000,0.05526,0.05612,0.05494,0.05563,119201585.6,1627012799999,6628957.858355,17124,61021862.6,3394492.722935,2021-07-23 00:00:00
1627012800000,0.05563,0.05627,0.05525,0.05557,88180507.3,1627027199999,4922708.164787,14757,46497872.0,2596207.265533,2021-07-23 04:00:00
1627027200000,0.05558,0.0556,0.05467,0.0548,99050229.1,1627041599999,5454603.452008,15635,47772830.1,2631364.40871,2021-07-23 08:00:00
1627041600000,0.0548,0.05539,0.05448,0.05456,98174563.7,1627055999999,5393805.307423,15633,46847193.1,2574697.374136,2021-07-23 12:00:00
1627056000000,0.05456,0.05459,0.0537,0.05442,111932354.7,1627070399999,6055800.147718,14636,54630222.3,2955898.902954,2021-07-23 16:00:00
1627070400000,0.05442,0.05604,0.05434,0.056,136803263.5,1627084799999,7567401.969959,16794,82840924.2,4583420.851038,2021-07-23 20:00:00
1627084800000,0.05602,0.05649,0.05575,0.05645,110551552.1,1627099199999,6204125.495038,16633,54423112.0,3054881.860466,2021-07-24 00:00:00
1627099200000,0.05645,0.05695,0.05606,0.05663,105092389.7,1627113599999,5935061.671256,17869,56624589.3,3199101.553657,2021-07-24 04:00:00
1627113600000,0.05662,0.05671,0.05603,0.05646,118539934.3,1627127999999,6684270.17157,17242,57406584.7,3238093.004374,2021-07-24 08:00:00
1627128000000,0.05645,0.05687,0.05628,0.05646,97819793.9,1627142399999,5540792.024651,16535,51077213.3,2893196.684871,2021-07-24 12:00:00
1627142400000,0.05647,0.05796,0.05642,0.05669,159815762.4,1627156799999,9160005.843785,27096,81512538.9,4674513.363974,2021-07-24 16:00:00
1627156800000,0.05667,0.05734,0.05627,0.05727,82956306.7,1627171199999,4707755.247321,11265,44643121.2,2535205.881753,2021-07-24 20:00:00
1627171200000,0.05727,0.05742,0.05575,0.05651,109469298.8,1627185599999,6182506.854893,13187,49344773.2,2788553.282333,2021-07-25 00:00:00
1627185600000,0.05651,0.05753,0.05637,0.05734,97909383.5,1627199999999,5591352.822413,14558,52383594.7,2991460.471039,2021-07-25 04:00:00
1627200000000,0.05735,0.05762,0.05678,0.05704,93100365.3,1627214399999,5326834.568543,15482,42705802.4,2444671.95007,2021-07-25 08:00:00
1627214400000,0.05704,0.05813,0.05658,0.05691,207998032.5,1627228799999,11924587.343194,28141,98543837.1,5653079.594835,2021-07-25 12:00:00
1627228800000,0.05691,0.05731,0.05637,0.05708,94743661.6,1627243199999,5386577.92668,14545,47902863.5,2724838.128088,2021-07-25 16:00:00
1627243200000,0.05708,0.05791,0.05684,0.05791,79524856.8,1627257599999,4564450.630044,11558,42662653.4,2449177.605874,2021-07-25 20:00:00
1627257600000,0.05789,0.06169,0.05764,0.0616,468473021.2,1627271999999,28308690.137252,67690,248563886.3,15006396.331867,2021-07-26 00:00:00
1627272000000,0.0616,0.06287,0.06074,0.06111,276524498.5,1627286399999,17145721.219716,45289,136658385.3,8478019.331002,2021-07-26 04:00:00
1627286400000,0.06112,0.06196,0.06041,0.06178,160716542.5,1627300799999,9848450.384893,26100,83914806.3,5144213.642439,2021-07-26 08:00:00
1627300800000,0.06178,0.06222,0.06062,0.06161,160458315.8,1627315199999,9852370.792485,23610,81294072.8,4993645.2066,2021-07-26 12:00:00
1627315200000,0.06161,0.06341,0.06141,0.062,277894377.9,1627329599999,17371391.34808,49396,128716561.2,8051212.135093,2021-07-26 16:00:00
1627329600000,0.062,0.0621,0.05831,0.05842,374060573.9,1627343999999,22356409.459676,43236,182526647.4,10919459.066009,2021-07-26 20:00:00
1627344000000,0.05841,0.05929,0.05686,0.05779,239889072.9,1627358399999,13867702.570986,25375,114802191.1,6642380.379569,2021-07-27 00:00:00
1627358400000,0.05777,0.05934,0.05762,0.05886,151312339.3,1627372799999,8857798.438652,19702,79836285.8,4673408.984652,2021-07-27 04:00:00
1627372800000,0.05887,0.05966,0.05849,0.05965,140523396.1,1627387199999,8303681.203574,21978,70968058.5,4194499.288915,2021-07-27 08:00:00
1627387200000,0.05966,0.06085,0.05894,0.05962,280400846.2,1627401599999,16811657.007,40700,147606535.9,8853331.092386,2021-07-27 12:00:00
1627401600000,0.05963,0.05986,0.05802,0.05875,127571638.2,1627415999999,7492456.906192,20691,61128365.4,3590827.313788,2021-07-27 16:00:00
1627416000000,0.05877,0.06025,0.05877,0.06019,91829691.7,1627430399999,5469042.349091,15320,50712635.9,3020813.193506,2021-07-27 20:00:00
