open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,datetime
1626926400000,0.565,0.591,0.5644,0.5793,94865457.25,1626940799999,55056564.669711,53764,52211640.96,30299412.526866,2021-07-22 04:00:00
1626940800000,0.5793,0.5842,0.5669,0.5722,65114963.44,1626955199999,37429198.503935,34903,32569211.0,18715859.418896,2021-07-22 08:00:00
1626955200000,0.5723,0.5916,0.5631,0.5899,72963216.33,1626969599999,42249472.485905,46204,37536828.33,21744315.539101,2021-07-22 12:00:00
1626969600000,0.5898,0.6033,0.5856,0.5962,70041201.07,1626983999999,41677222.438527,48877,35896435.45,21365449.588382,2021-07-22 16:00:00
1626984000000,0.5961,0.6,0.5871,0.592,45575930.02,1626998399999,26979095.933418,26636,20603025.57,12202102.773252,2021-07-22 20:00:00
1626998400000,0.592,0.6039,0.5885,0.597,60195701.86,1627012799999,35907805.980019,32816,31281798.02,18670767.615163,2021-07-23 00:00:00
1627012800000,0.5971,0.6094,0.5957,0.5991,65739140.9,1627027199999,39562918.311122,37857,35043067.21,21092058.092945,2021-07-23 04:00:00
1627027200000,0.5992,0.5997,0.5883,0.5902,47298063.48,1627041599999,28027540.045395,29684,22472042.31,13312650.476754,2021-07-23 08:00:00
1627041600000,0.5901,0.5988,0.5835,0.5858,46311943.12,1627055999999,27440051.215005,86736,22583390.81,13380793.972496,2021-07-23 12:00:00
1627056000000,0.5857,0.5858,0.5753,0.584,59481090.22,1627070399999,34463461.198997,30261,30737415.68,17811301.361106,2021-07-23 16:00:00
1627070400000,0.5841,0.6101,0.583,0.6091,80535866.85,1627084799999,48106655.233817,48651,41634964.14,24871597.23918,2021-07-23 20:00:00
1627084800000,0.6092,0.6122,0.603,0.6084,68271891.77,1627099199999,41434406.664214,42396,34503655.52,20941997.35301,2021-07-24 00:00:00
1627099200000,0.6083,0.6148,0.6045,0.6101,47421828.79,1627113599999,28864565.259478,31529,24520826.77,14926183.33887,2021-07-24 04:00:00
1627113600000,0.6101,0.6103,0.6019,0.6061,51762969.95,1627127999999,31356793.630812,34276,26585524.37,16102741.372362,2021-07-24 08:00:00
1627128000000,0.6061,0.6093,0.6039,0.606,44031138.17,1627142399999,26701200.165241,29937,22580966.28,13692806.558337,2021-07-24 12:00:00
1627142400000,0.606,0.6205,0.6013,0.6023,71240279.8,1627156799999,43730711.650256,51101,34881266.29,21416293.304972,2021-07-24 16:00:00
1627156800000,0.6023,0.61,0.5996,0.6085,36956813.82,1627171199999,22329768.47922,23559,18718000.88,11312372.842553,2021-07-24 20:00:00
